ID,Time Spent On TV,Number Of Meals Per Day,Change In Weight,Health Issue During Lockdown,Stress Busters,Time Utilized,Connection Status,Activities Missed (Most),Age Group
209,1,2,Increased,NO,Leisure and Entertainment,YES,NO,Education,Pre-Teens
210,0,3,Increased,NO,Gaming,NO,YES,Social Interactions,Pre-Teens
211,2,3,Remain Constant,NO,Communication with others,YES,NO,Education,Young Adults
212,0.5,4,Increased,NO,Exercise,YES,NO,Travel and Exploration,Pre-Teens
213,1,2,Remain Constant,NO,Leisure and Entertainment,NO,NO,Dining and Entertainment,Pre-Teens
214,0,2,Remain Constant,YES,Social Media,YES,YES,Social Interactions,Young Adults
215,1,4,Remain Constant,NO,Reading books,NO,YES,Social Interactions,Pre-Teens
216,0.5,3,Increased,NO,Sleeping,NO,NO,Education,Young Adults
217,0.5,3,Remain Constant,NO,Social Media,NO,NO,Travel and Exploration,Pre-Teens
218,1,2,Remain Constant,YES,Meditation,YES,NO,Education,Pre-Teens
219,2,4,Increased,NO,Sleeping,NO,YES,Social Interactions,Young Adults
220,0,4,Increased,NO,Gaming,YES,NO,Travel and Exploration,Young Adults
221,1,3,Remain Constant,NO,Leisure and Entertainment,NO,NO,All Options,Pre-Teens
222,2,3,Decreased,NO,Gaming,YES,YES,Social Interactions,Young Adults
223,0,2,Increased,YES,Watching videos,YES,YES,Social Interactions,Young Adults
224,2,3,Increased,NO,Social Media,YES,YES,Education,Young Adults
225,1,3,Decreased,YES,Social Media,NO,YES,Personal Exploration,Pre-Teens
226,0,4,Remain Constant,NO,Leisure and Entertainment,YES,NO,Education,Pre-Teens
227,0,4,Increased,NO,Communication with others,NO,YES,Dining and Entertainment,Young Adults
228,0,3,Remain Constant,NO,Reading books,YES,YES,Social Interactions,Adults
229,3,4,Remain Constant,NO,Sleeping,NO,NO,Travel and Exploration,Pre-Teens
230,0,4,Remain Constant,NO,Leisure and Entertainment,NO,NO,Technology and Media,Young Adults
231,0.5,4,Increased,NO,Sleeping,YES,YES,Personal Exploration,Young Adults
232,0,3,Remain Constant,NO,Reading books,YES,YES,Education,Pre-Teens
233,3,3,Decreased,NO,Leisure and Entertainment,YES,YES,Social Interactions,Pre-Teens
234,0,3,Remain Constant,YES,Gaming,YES,YES,Education,Young Adults
235,0,3,Increased,NO,Gaming,NO,YES,Education,Pre-Teens
236,0,3,Increased,NO,Reading books,NO,YES,Personal Exploration,Young Adults
237,0.5,2,Remain Constant,NO,Meditation,YES,YES,Education,Adults
238,2,4,Remain Constant,NO,Leisure and Entertainment,NO,NO,Dining and Entertainment,Pre-Teens
239,1,1,Increased,NO,Leisure and Entertainment,YES,YES,Education,Pre-Teens
240,0,3,Remain Constant,NO,Gaming,YES,YES,Social Interactions,Pre-Teens
241,1,3,Decreased,YES,Gaming,NO,YES,Education,Pre-Teens
242,0.5,3,Remain Constant,NO,Sleeping,NO,YES,Social Interactions,Pre-Teens
243,0,2,Decreased,NO,Reading books,NO,YES,Education,Young Adults
244,2,4,Increased,NO,Social Media,YES,YES,Education,Pre-Teens
245,0,3,Increased,NO,Leisure and Entertainment,NO,NO,Personal Exploration,Young Adults
246,2,2,Increased,NO,Gaming,NO,YES,Education,Pre-Teens
247,2,3,Remain Constant,NO,Gaming,YES,NO,Entertainment,Young Adults
248,1,2,Remain Constant,NO,Leisure and Entertainment,NO,YES,Education,Pre-Teens
249,0,3,Increased,NO,Social Media,NO,YES,Personal Exploration,Young Adults
250,1,3,Remain Constant,NO,Exercise,YES,YES,Travel and Exploration,Pre-Teens
251,0,4,Remain Constant,NO,Reading books,NO,NO,Education,Young Adults
252,2,3,Increased,NO,Leisure and Entertainment,NO,YES,Education,Pre-Teens
253,1.5,3,Increased,NO,Watching videos,NO,YES,Education,Pre-Teens
254,1,3,Increased,NO,Watching videos,NO,YES,Social Interactions,Pre-Teens
255,0,3,Decreased,NO,Leisure and Entertainment,NO,NO,Education,Pre-Teens
256,0,3,Decreased,NO,Leisure and Entertainment,YES,YES,Dining and Entertainment,Young Adults
257,0,2,Remain Constant,NO,Communication with others,NO,NO,Education,Pre-Teens
258,1.5,3,Remain Constant,NO,Gaming,NO,YES,Education,Pre-Teens
259,1,2,Increased,YES,Sleeping,NO,YES,Education,Young Adults
260,2,3,Increased,NO,Watching videos,NO,NO,Social Interactions,Pre-Teens
261,0.5,2,Increased,YES,Leisure and Entertainment,YES,NO,Travel and Exploration,Young Adults
262,0,4,Increased,NO,Leisure and Entertainment,NO,YES,Social Interactions,Young Adults
263,0.5,2,Remain Constant,NO,Leisure and Entertainment,NO,YES,Social Interactions,Young Adults
264,1,3,Remain Constant,NO,Leisure and Entertainment,NO,NO,Education,Pre-Teens
265,1,3,Remain Constant,NO,Reading books,YES,YES,Personal Exploration,Young Adults
266,1,3,Remain Constant,NO,Leisure and Entertainment,NO,YES,Social Interactions,Pre-Teens
267,0,3,Remain Constant,NO,Reading books,YES,YES,Personal Reflection,Young Adults
268,2,3,Remain Constant,NO,Sports and games,YES,YES,Personal Reflection,Young Adults
269,0,2,Remain Constant,NO,Gaming,NO,NO,Dining and Entertainment,Young Adults
270,0,3,Increased,NO,Sleeping,NO,YES,Personal Exploration,Young Adults
271,1,3,Remain Constant,NO,Leisure and Entertainment,YES,YES,Education and Social Interactions,Pre-Teens
272,0,2,Increased,YES,Leisure and Entertainment,YES,YES,Personal Exploration,Pre-Teens
273,3,3,Increased,YES,Leisure and Entertainment,YES,YES,Personal Exploration,Pre-Teens
274,0,5,Remain Constant,NO,Leisure and Entertainment,NO,YES,Travel and Exploration,Pre-Teens
275,0,2,Remain Constant,NO,Gaming,NO,YES,Social Interactions,Young Adults
276,3,3,Increased,NO,Sleeping,NO,YES,Education,Pre-Teens
277,2,2,Increased,NO,Sleeping,YES,YES,Education,Pre-Teens
278,5,3,Decreased,NO,Watching videos,NO,NO,Personal Exploration,Young Adults
279,2,3,Decreased,NO,Leisure and Entertainment,YES,NO,Education,Pre-Teens
280,0,3,Remain Constant,NO,Leisure and Entertainment,YES,NO,Personal Exploration,Young Adults
281,1.5,4,Increased,NO,Reading books,YES,YES,Education,Pre-Teens
282,0,3,Increased,NO,Gaming,NO,YES,Social Interactions,Pre-Teens
283,2,3,Increased,NO,Gaming,NO,NO,All Options,Pre-Teens
284,0.5,2,Remain Constant,NO,Reading books,NO,NO,Personal Exploration,Pre-Teens
285,0,3,Remain Constant,NO,Leisure and Entertainment,YES,NO,Social Interactions,Young Adults
286,0,1,Increased,NO,Meditation,NO,YES,Personal Exploration,Young Adults
287,0,2,Increased,NO,Social Media,YES,YES,Education,Young Adults
288,1,3,Increased,NO,Communication with others,NO,NO,Education,Young Adults
289,0,3,Decreased,NO,Gaming,YES,NO,Education,Pre-Teens
290,1,4,Remain Constant,NO,Communication with others,NO,YES,Social Interactions,Pre-Teens
291,0,3,Decreased,NO,Leisure and Entertainment,YES,NO,Travel and Exploration,Pre-Teens
292,2,4,Remain Constant,YES,Leisure and Entertainment,YES,YES,Travel and Exploration,Young Adults
293,2,3,Increased,NO,Meditation,NO,YES,Personal Exploration,Young Adults
294,2,4,Remain Constant,NO,Watching videos,YES,YES,Travel and Exploration,Pre-Teens
295,0,3,Remain Constant,NO,Leisure and Entertainment,NO,NO,All Options,Pre-Teens
296,2,3,Increased,NO,Reading books,NO,YES,Travel and Exploration,Young Adults
297,0,3,Remain Constant,NO,Leisure and Entertainment,NO,YES,Social Interactions,Young Adults
298,2,3,Remain Constant,NO,Watching videos,NO,NO,Personal Exploration,Young Adults
299,3,3,Increased,NO,Sleeping,NO,YES,Travel and Exploration,Pre-Teens
300,2,3,Remain Constant,NO,Leisure and Entertainment,YES,YES,Personal Exploration,Young Adults
301,1,2,Remain Constant,NO,Leisure and Entertainment,YES,NO,Education,Young Adults
302,1,3,Increased,NO,Gaming,YES,NO,Personal Exploration,Young Adults
303,0,3,Remain Constant,NO,Gaming,YES,YES,Social Interactions,Pre-Teens
304,2,2,Increased,NO,Social Media,NO,YES,Social Interactions,Young Adults
305,0,2,Decreased,YES,Leisure and Entertainment,NO,NO,Personal Exploration,Young Adults
306,4,3,Remain Constant,NO,Leisure and Entertainment,NO,NO,Education,Young Adults
